#Star_ID        Band            ew(A)
B0.5-III-ID1384 FeII/4233       -0.0623588766626
B0.5-III-ID1384 HeI/4387        0.374627943236
B0.5-III-ID1384 OII/4416        0.0776732926834
B0.5-III-ID1384 HeI/4471        0.294475394471
B0.5-III-ID1384 MgII/4481       0.0499749016103
B0.5-III-ID1384 HeII/4541       0.00493528633541
B0.5-III-ID1384 SiIII/4553      0.100180932601
B0.5-III-ID1384 OII+CIII/4645   0.523746185786
B0.5-III-ID1384 HeII/4686       0.200267470685
B0.5-III-ID1644 CaIIK/3928      0.266304050256
B0.5-III-ID1644 HeI/4009        0.364766127471
B0.5-III-ID1644 HeI/4026        0.626376063928
B0.5-III-ID1644 SiIV/4088       0.115916985006
B0.5-III-ID1644 SiIV/4116       0.0882607225748
B0.5-III-ID1644 HeI/4121        0.217296355873
B0.5-III-ID1644 SiII/4130       0.0131149905516
B0.5-III-ID1644 HeI/4144        0.39944814097
B0.5-III-ID1644 HeII/4200       0.163963184699
B0.5-III-ID1644 FeII/4233       -0.00750751241243
B0.5-III-ID1644 HeI/4387        0.430660755838
B0.5-III-ID1644 OII/4416        0.0843299980662
B0.5-III-ID1644 HeI/4471        0.427710196027
B0.5-III-ID1644 MgII/4481       0.00920075679373
B0.5-III-ID1644 HeII/4541       0.121042099183
B0.5-III-ID1644 SiIII/4553      -0.00856189756897
B0.5-III-ID1644 OII+CIII/4645   0.446180237464
B0.5-III-ID1644 HeII/4686       0.149937945695
B0.5-III-ID2379 CaIIK/3928      0.122824296639
B0.5-III-ID2379 HeI/4009        0.0827647826691
B0.5-III-ID2379 HeI/4026        0.680000112355
B0.5-III-ID2379 SiIV/4088       0.250032239678
B0.5-III-ID2379 SiIV/4116       0.275796453786
B0.5-III-ID2379 HeI/4121        0.256494921063
B0.5-III-ID2379 SiII/4130       0.144853718036
B0.5-III-ID2379 HeI/4144        0.280284121618
B0.5-III-ID2379 HeII/4200       0.178925972774
B0.5-III-ID2379 FeII/4233       -0.0102382307281
B0.5-III-ID2379 HeI/4387        0.332540319201
B0.5-III-ID2379 OII/4416        -0.0265816057065
B0.5-III-ID2379 HeI/4471        0.384358230473
B0.5-III-ID2379 MgII/4481       0.145713920621
B0.5-III-ID2379 HeII/4541       0.0470773592735
B0.5-III-ID2379 SiIII/4553      0.0488352907154
B0.5-III-ID2379 OII+CIII/4645   0.223645021855
B0.5-III-ID2379 HeII/4686       0.208976290863
B0.5-III-ID2440 CaIIK/3928      0.290337603088
B0.5-III-ID2440 HeI/4009        0.257272716314
B0.5-III-ID2440 HeI/4026        0.734286813438
B0.5-III-ID2440 SiIV/4088       0.126713735128
B0.5-III-ID2440 SiIV/4116       0.12731070427
B0.5-III-ID2440 HeI/4121        0.3665297741
B0.5-III-ID2440 SiII/4130       0.0803382682971
B0.5-III-ID2440 HeI/4144        0.449947017752
B0.5-III-ID2440 HeII/4200       0.185401615222
B0.5-III-ID2440 FeII/4233       0.0054580902257
B0.5-III-ID2440 HeI/4387        0.646388968991
B0.5-III-ID2440 OII/4416        0.122130735754
B0.5-III-ID2440 HeI/4471        0.854228774566
