Name,RAJ2000,DEJ2000,U,e_U,B,e_B,V,e_V,I,e_I,J,e_J,H,e_H,K,e_K,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],SpT
"OGLE BRIGHT-LMC-MISC-492   ",84.56949,-69.07056,17.828,0.17,15.225,0.087,13.757,0.07,11.39,0.02,9.786,0.04,8.906,0.035,8.552,0.033,8.264,0.025,8.376,0.025,8.072,0.018,7.657,0.017,4.733,,RSG
"[BE74] 356                 ",83.2918,-67.733246,14.033,0.01,13.344,0.01,12.316,0.01,11.077,0.05,10.18,0.023,9.774,0.024,9.497,0.019,9.253,0.034,9.156,0.023,9.069,0.025,9.007,0.028,6.908,0.141,RSG
"[M2002] LMC 159974         ",83.58928,-69.36674,16.263,0.07,14.544,0.01,12.776,0.01,11.141,0.03,9.912,0.022,9.113,0.024,8.891,0.02,8.768,0.022,8.728,0.023,8.62,0.017,8.518,0.02,9.598,0.508,RSG
"MACHO 81.9124.8            ",84.104965,-69.6921,13.55,0.027,12.761,0.085,11.896,0.121,11.03,0.02,10.252,0.022,9.92,0.024,9.692,0.021,9.469,0.037,9.327,0.018,9.276,0.023,9.224,0.047,6.997,0.123,RSG
"[GDN2015] LMC218           ",84.108475,-69.32476,17.692,0.046,15.781,0.031,13.65,0.105,11.505,0.02,9.888,0.023,9.028,0.023,8.706,0.023,8.479,0.031,8.562,0.027,8.313,0.016,7.957,0.019,6.315,0.101,RSG
"MACHO 3.6848.668           ",80.61531,-68.14773,15.194,0.043,13.891,0.028,12.48,0.082,11.29,0.02,10.172,0.023,9.454,0.026,9.266,0.023,9.185,0.031,9.304,0.02,9.201,0.028,9.2,0.028,7.942,0.124,RSG
"[W60] D24                  ",83.03676,-67.18848,16.953,0.1,15.014,0.01,13.166,0.01,11.123,0.03,9.764,0.023,8.975,0.027,8.692,0.025,8.423,0.03,8.616,0.035,8.409,0.019,8.208,0.019,6.964,0.055,RSG
"[M2002] LMC 148409         ",82.67494,-69.089775,16.413,0.06,15.184,0.01,13.376,0.01,11.33,0.04,9.889,0.022,9.079,0.025,8.756,0.022,8.47,0.037,8.633,0.033,8.351,0.02,8.048,0.02,6.417,0.06,RSG
"[M2002] LMC 138405         ",81.86141,-69.00053,16.323,0.1,14.964,0.02,13.136,0.01,11.198,0.03,9.727,0.024,8.942,0.022,8.666,0.019,8.498,0.03,8.673,0.025,8.433,0.022,8.186,0.018,6.93,0.057,RSG
"SP77 45-54                 ",82.867455,-67.05635,14.683,0.02,14.324,0.01,13.046,0.01,10.922,0.04,9.73,0.024,8.992,0.024,8.814,0.023,8.641,0.041,,,8.586,0.02,8.328,0.02,7.032,0.058,RSG
"SV* HV  5568               ",75.81372,-70.29493,16.553,0.08,15.114,0.01,13.306,0.01,11.11,0.03,9.782,0.022,8.985,0.025,8.715,0.021,8.611,0.04,8.726,0.028,8.536,0.025,8.419,0.021,7.365,0.074,RSG
"SV* HV 2447                ",79.877106,-68.68602,14.343,0.02,13.424,0.01,12.186,0.01,10.9,0.03,10.368,0.024,9.915,0.022,9.76,0.021,9.579,0.041,9.469,0.019,9.438,0.028,9.424,0.024,8.711,0.222,RSG
"[W60] B68                  ",79.74317,-69.6959,15.713,0.05,14.904,0.02,13.156,0.01,11.114,0.03,9.849,0.021,9.023,0.025,8.769,0.023,8.568,0.027,8.756,0.025,8.576,0.019,8.472,0.02,9.269,0.52,RSG
"[GDN2015] LMC216           ",84.033005,-69.20918,16.748,0.067,15.552,0.031,13.627,0.073,11.594,0.04,10.046,0.024,9.137,0.026,8.84,0.022,8.658,0.028,8.824,0.024,8.671,0.019,8.558,0.018,9.317,,RSG
"Cl* NGC 2004    ROB C14    ",82.71784,-67.29289,14.843,0.03,14.284,0.01,12.856,0.01,11.162,0.04,9.865,0.022,9.04,0.022,8.827,0.021,8.628,0.024,8.774,0.031,8.596,0.021,8.419,0.021,6.926,0.053,RSG
"[M2002] LMC 146548         ",82.539856,-69.18435,17.607,0.063,15.766,0.021,13.759,0.041,11.59,0.02,9.839,0.022,8.942,0.025,8.641,0.023,8.388,0.034,8.596,0.031,8.37,0.022,8.258,0.019,7.188,0.066,RSG
"[M2002] LMC 176216         ",85.35227,-69.30358,17.093,0.12,15.384,0.01,13.716,0.01,11.5,0.03,10.196,0.02,9.418,0.028,8.933,0.023,7.601,0.075,7.535,0.042,6.822,0.021,5.968,0.029,4.883,0.024,RSG
"[M2002] LMC 150976         ",82.85669,-69.35497,16.423,0.08,15.074,0.02,13.226,0.01,11.1,0.04,9.812,0.022,8.977,0.024,8.705,0.021,8.978,0.092,8.704,0.025,8.541,0.022,8.388,0.018,7.572,0.086,RSG
"W61  6-57                  ",85.54149,-69.22468,17.956,0.076,16.063,0.036,13.932,0.046,11.488,0.03,10.021,0.026,9.15,0.022,8.823,0.023,8.479,0.025,8.578,0.027,8.241,0.019,7.777,0.019,6.067,0.046,RSG
"SP77 40-15                 ",76.65164,-70.54402,16.633,0.09,15.064,0.01,13.156,0.01,,,9.811,0.022,9.022,0.025,8.75,0.022,8.538,0.033,8.628,0.03,8.46,0.017,8.183,0.02,6.035,0.038,RSG
"[M2002] LMC 178066         ",85.66069,-69.16428,17.733,0.23,15.354,0.02,13.356,0.01,11.243,0.03,9.93,0.024,9.119,0.024,8.816,0.021,8.611,0.046,8.711,0.027,8.455,0.02,8.173,0.02,6.71,0.106,RSG
"[GDN2015] LMC143           ",83.08562,-69.26691,16.753,0.11,15.074,0.01,13.266,0.01,11.241,0.03,9.861,0.022,9.056,0.025,8.792,0.023,8.65,0.031,8.822,0.03,8.641,0.021,8.506,0.02,7.698,0.09,RSG
"[GDN2015] LMC198           ",83.84065,-69.22771,16.389,0.039,14.834,0.02,13.396,0.01,11.463,0.03,10.049,0.021,9.168,0.024,8.89,0.025,8.649,0.024,8.776,0.024,8.622,0.018,8.545,0.017,6.363,,RSG
"2MASS J04521129-7148341    ",73.04708,-71.80949,14.691,0.022,13.367,0.03,12.132,0.052,10.832,0.03,9.874,0.023,9.203,0.024,9.068,0.025,,,,,,,,,8.914,0.337,RSG
"GSC 09167-00338            ",85.01317,-69.37988,17.399,0.066,15.326,0.13,13.631,0.165,11.355,0.03,9.939,0.022,9.064,0.021,8.743,0.023,8.508,0.032,8.648,0.034,8.424,0.022,8.218,0.022,5.978,0.062,RSG
"[M2002] LMC 146266         ",82.52059,-69.06659,,,14.99,,13.15,,11.275,0.02,9.9,0.024,9.075,0.023,8.808,0.019,8.611,0.035,8.768,0.034,8.546,0.021,8.286,0.022,7.009,0.058,RSG
"[GDN2015] LMC96            ",82.44244,-68.61735,14.932,0.035,14.926,0.068,13.668,0.227,11.434,0.02,9.897,0.024,9.034,0.023,8.747,0.021,8.912,0.054,8.669,0.026,8.504,0.016,8.408,0.018,8.893,0.353,RSG
"[GDN2015] LMC156           ",83.250786,-69.60864,17.449,0.227,15.322,0.105,13.424,0.064,11.404,0.03,10.01,0.023,9.164,0.021,8.869,0.019,8.696,0.025,8.846,0.026,8.671,0.018,8.595,0.017,8.29,0.148,RSG
"[M2002] LMC 137624         ",81.792946,-69.271545,17.033,0.14,15.094,0.02,13.216,0.01,11.301,0.03,9.812,0.021,9.002,0.024,8.784,0.021,8.579,0.034,8.702,0.027,8.519,0.022,8.35,0.018,6.741,0.051,RSG
"W61 21-58                  ",83.373314,-67.52712,16.562,0.07,14.714,0.01,13.216,0.01,11.34,0.05,9.949,0.023,9.151,0.027,8.825,0.019,8.656,0.022,8.797,0.021,8.66,0.016,8.585,0.019,8.221,0.161,RSG
"[M2002] LMC 128130         ",80.62956,-69.5681,16.523,0.12,14.984,0.03,13.126,0.01,11.23,0.02,9.784,0.021,8.963,0.025,8.649,0.022,8.908,0.104,8.527,0.03,8.206,0.02,7.808,0.019,7.008,0.053,RSG
"[GDN2015] LMC213           ",83.98452,-69.29744,17.747,0.079,15.486,0.047,13.516,0.185,11.933,0.04,9.864,0.026,9.152,0.028,8.818,0.03,8.388,0.041,8.211,0.028,7.97,0.019,7.511,0.016,5.336,0.048,RSG
"W61 23-39                  ",83.0802,-67.41674,16.843,0.09,15.034,0.01,13.216,0.01,11.228,0.03,9.914,0.021,9.144,0.025,8.874,0.025,8.69,0.031,8.842,0.025,8.725,0.023,8.618,0.02,8.114,0.111,RSG
"SP77 45-42a                ",82.64825,-67.2012,16.683,0.1,14.924,0.01,13.116,0.01,11.2,0.04,9.913,0.022,9.159,0.024,8.852,0.021,8.703,0.03,8.882,0.033,8.702,0.023,8.514,0.021,7.487,0.076,RSG
"[GDN2015] LMC260           ",85.28405,-69.92943,16.61,0.059,14.896,0.03,13.183,0.117,11.304,0.03,10.154,0.024,9.363,0.021,9.125,0.023,8.953,0.039,9.145,0.017,8.955,0.027,8.873,0.023,7.016,0.077,RSG
"[GDN2015] LMC125           ",82.88025,-69.17458,17.548,0.077,15.457,0.066,13.512,0.059,11.468,0.04,9.96,0.023,9.161,0.025,8.813,0.025,8.6,0.035,8.709,0.031,8.495,0.02,8.238,0.02,6.75,0.078,RSG
"[GDN2015] LMC137           ",82.991905,-69.23151,16.973,0.12,15.244,0.02,13.366,0.01,11.293,0.03,9.953,0.023,9.161,0.026,8.874,0.025,8.69,0.037,8.842,0.026,8.625,0.023,8.411,0.021,6.848,0.069,RSG
"[M2002] LMC 140006         ",82.0002,-69.12845,15.453,0.05,14.814,0.02,13.106,0.01,11.149,0.03,9.988,0.024,9.286,0.025,8.995,0.023,8.611,0.028,8.629,0.026,8.364,0.022,7.934,0.018,5.83,0.05,RSG
"[GDN2015] LMC239           ",84.57088,-69.06694,,,14.126,0.106,12.991,0.068,11.58,0.02,10.077,0.027,9.193,0.027,8.866,0.026,8.568,0.03,8.576,0.027,8.305,0.02,7.865,0.017,4.556,,RSG
"[GDN2015] LMC231           ",84.399895,-69.20828,17.546,0.057,15.694,0.117,13.719,0.095,11.758,0.02,10.279,0.021,9.363,0.025,9.067,0.021,8.915,0.043,9.05,0.024,8.903,0.023,8.844,0.022,4.066,0.066,RSG
"SV* HV  2555               ",82.06196,-66.546165,16.859,0.142,16.144,0.052,14.328,0.024,11.132,0.03,9.956,0.022,9.217,0.024,8.84,0.021,8.218,0.035,8.625,0.053,7.792,0.021,7.194,0.017,5.365,0.03,RSG
"[GDN2015] LMC242           ",84.6083,-69.378746,15.573,0.05,14.864,0.01,13.346,0.01,11.465,0.02,10.026,0.022,9.218,0.025,8.927,0.021,8.735,0.03,8.922,0.03,8.728,0.023,8.623,0.022,9.099,,RSG
"[GDN2015] LMC203           ",83.87208,-69.73149,15.513,0.03,14.727,0.041,13.158,0.076,11.353,0.03,10.115,0.022,9.232,0.024,8.948,0.021,8.779,0.035,8.989,0.033,8.839,0.023,8.765,0.022,9.286,,RSG
"HD 268828                  ",74.16668,-69.69897,13.393,0.01,12.714,,11.896,,10.955,0.03,10.4,0.021,10.049,0.023,9.967,0.023,9.842,0.021,9.79,0.022,9.794,0.028,9.779,0.029,9.175,0.367,RSG
Cl* NGC 2004   BBBC     431,82.691574,-67.29038,16.643,0.197,14.997,0.019,13.165,0.067,11.292,0.04,9.991,0.026,9.18,0.025,8.907,0.023,8.736,0.029,8.891,0.046,8.764,0.022,8.687,0.021,8.022,0.136,RSG
"W61 18-13                  ",82.70176,-67.27941,14.203,0.02,14.154,0.01,13.076,0.01,11.315,0.04,9.976,0.026,9.147,0.025,8.91,0.025,8.784,0.034,8.989,0.032,8.761,0.024,8.657,0.023,7.942,0.112,RSG
"[GDN2015] LMC30            ",81.180916,-70.00033,17.1,0.047,15.268,0.035,13.632,0.158,,,9.931,0.022,9.13,0.024,8.816,0.023,8.671,0.034,8.859,0.037,8.636,0.022,8.484,0.021,7.396,0.064,RSG
"[GDN2015] LMC209           ",83.9559,-69.08207,16.91,0.054,16.218,0.024,13.961,0.027,11.994,0.03,10.248,0.023,9.358,0.025,9.009,0.025,8.742,0.025,8.913,0.022,8.748,0.041,8.667,0.016,8.324,,RSG
"[M2002] LMC 161078         ",83.695915,-69.4835,,,14.52,,12.91,,11.342,0.03,10.068,0.036,9.275,0.034,9.02,0.033,8.841,0.029,9.045,0.02,8.872,0.019,8.798,0.017,9.589,,RSG
"[GDN2015] LMC236           ",84.52733,-69.47923,16.983,0.15,15.304,0.02,13.426,0.01,11.476,0.02,10.099,0.022,9.298,0.024,9.049,0.021,8.88,0.035,,,8.68,0.022,8.31,0.028,5.59,0.066,RSG
"W61  8-7                   ",84.92406,-69.191925,18.931,0.112,16.95,0.203,14.665,0.034,12.026,0.03,10.28,0.021,9.352,0.026,8.935,0.023,8.611,0.029,8.735,0.032,8.458,0.017,8.077,0.019,5.22,0.126,RSG
"W61 22-9                   ",82.68715,-67.3319,17.703,0.046,15.038,0.107,13.513,0.032,11.319,0.04,10.008,0.022,9.147,0.022,8.867,0.021,8.725,0.043,8.861,0.03,8.685,0.022,8.567,0.021,7.43,0.08,RSG
"[GDN2015] LMC39            ",81.452324,-68.939865,16.583,0.08,14.964,0.01,13.146,0.01,11.352,0.03,10.03,0.023,9.265,0.025,8.991,0.021,9.789,0.102,8.975,0.03,8.836,0.023,8.744,0.021,7.342,0.071,RSG
"[GDN2015] LMC232           ",84.44773,-68.60572,,,19.043,0.062,16.532,0.132,11.384,0.02,10.021,0.024,9.184,0.026,8.92,0.023,8.758,0.043,8.911,0.035,8.788,0.024,8.728,0.026,6.751,0.051,RSG
