Name,RAJ2000,DEJ2000,U,e_U,B,e_B,V,e_V,I,e_I,J,e_J,H,e_H,K,e_K,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],SpT
BAT99-1,71.38437638888888,-70.25302888888888,15.001,0.037,15.647,0.029,15.778,0.1701,15.643,0.034,15.288,0.029,15.114,0.034,14.79,0.047,14.121,0.039,13.618,0.032,13.437,0.046,12.996,0.051,,,WR
Sk -67 1,71.42275249999999,-67.5705261111111,12.829,0.038,13.72,0.025,13.668,0.0331,13.413,0.047,13.362,0.026,13.276,0.024,13.056,0.024,12.601,0.039,12.411,0.027,12.141,0.037,11.838,0.045,,,OBAe
Sk -70 1a,71.86499777777777,-70.56269833333333,12.693,0.01,13.654,0.01,13.716,0.0101,13.685,0.039,13.713,0.023,13.711,0.026,13.714,0.031,13.723,0.037,13.743,0.036,13.731,0.048,,,,,OBA
Sk -69 8,72.3293761111111,-69.43183138888888,10.838,0.06,11.714,0.078,11.572,0.1681,11.461,0.04,11.288,0.022,11.208,0.021,11.187,0.019,11.1,0.031,11.052,0.03,11.031,0.026,11.023,0.043,,,OBA
BAT99-2,72.4009,-69.3484,15.633,0.038,16.495,0.03,16.579,0.0251,16.447,0.072,16.065,0.035,15.867,0.045,15.552,0.088,14.918,0.037,14.511,0.043,14.461,0.105,,,,,WR
Sk -67 4,72.46641527777777,-67.68746944444443,11.843,0.01,12.914,0.01,13.076,0.0101,13.079,0.038,13.393,0.023,13.438,0.024,13.478,0.026,13.508,0.027,13.504,0.029,13.566,0.049,13.545,0.051,,,OBA
Sk -70 2,72.49170666666666,-70.35077666666666,12.893,0.01,13.584,0.01,13.576,0.0101,13.519,0.04,13.435,0.023,13.426,0.023,13.435,0.026,13.397,0.037,13.238,0.036,13.045,0.126,,,7.363,0.02723,OBA
Sk -67 5,72.57883444444444,-67.66056055555555,10.244,0.145,11.115,0.144,11.377,0.0851,11.322,0.115,11.578,0.022,11.61,0.024,11.619,0.021,11.606,0.026,11.565,0.019,11.553,0.027,11.501,0.031,,,OBA
Sk -67 6,72.87808222222222,-67.47299972222221,12.333,0.01,13.424,0.01,13.636,0.0101,13.712,0.141,13.978,0.022,14.09,0.025,14.138,0.034,14.147,0.03,14.156,0.041,14.131,0.049,14.07,0.095,,,OBA
LH2-23,72.94604499999998,-69.31786361111111,12.413,0.01,13.324,0.01,13.156,0.0101,13.43,0.043,13.414,0.059,13.255,0.099,13.232,0.128,,,13.568,0.092,13.758,0.101,,,,,OBA
BI 4,72.9947511111111,-68.7733611111111,13.388,0.05,14.32,0.022,14.4,0.0281,14.615,0.042,14.728,0.023,14.729,0.03,14.773,0.049,14.859,0.048,14.826,0.063,14.655,0.119,,,,,OBA
LH2-142,73.03800194444443,-69.34325416666665,12.293,0.01,13.314,0.01,13.466,0.0101,13.722,0.039,13.843,0.027,13.875,0.029,13.913,0.034,13.918,0.044,13.88,0.045,14.022,0.116,,,,,OBA
LH2-223,73.07592,-69.3365861111111,11.803,0.01,12.804,0.01,12.946,0.0101,12.95,0.053,13.077,0.023,13.117,0.025,13.148,0.026,13.132,0.033,13.104,0.032,13.034,0.058,,,,,OBA
Sk -66 1,73.07954416666665,-66.73147583333332,10.709,0.104,11.455,0.133,11.635,0.0741,11.482,0.119,11.656,0.023,11.627,0.023,11.665,0.028,11.521,0.027,11.503,0.026,11.437,0.034,11.423,0.04,,,OBA
BAT99-3,73.23912805555554,-66.68708805555555,13.793,0.07,14.531,0.383,14.64,0.0171,14.527,0.028,14.233,0.023,14.07,0.026,13.808,0.027,13.345,0.032,12.877,0.037,12.743,0.038,12.421,0.046,,,WR
Sk -68 7,73.36216749999998,-68.4997711111111,11.963,0.01,12.934,0.01,13.026,0.0101,12.959,0.039,13.086,0.022,13.103,0.025,13.087,0.025,13.071,0.028,13.083,0.034,13.09,0.039,13.071,0.062,,,OBA
Sk -66 5,73.37512222222222,-66.92449944444444,,,,,,,,,10.797,0.021,10.808,0.024,10.81,0.023,10.725,0.02,10.685,0.027,10.628,0.031,10.624,0.03,,,OBA
Sk -66 5a,73.3905411111111,-66.90208444444444,12.652,0.081,13.207,0.053,13.286,0.0421,13.262,0.032,13.35,0.023,13.377,0.026,13.382,0.027,13.405,0.033,13.339,0.027,13.36,0.066,,,,,OBA
Sk -66 6,73.39562222222222,-66.93797305555555,11.779,0.067,12.507,0.149,12.712,0.1421,12.74,0.077,12.982,0.022,13.006,0.025,13.053,0.025,12.971,0.032,12.966,0.032,12.93,0.051,13.021,0.066,,,OBA
Sk -68 8,73.4303361111111,-68.71480555555554,10.195,0.085,11.044,0.032,10.986,0.2131,10.97,0.124,10.857,0.021,10.869,0.025,10.782,0.025,10.611,0.026,10.615,0.018,10.537,0.029,10.513,0.025,,,OBA
Sk -65 1,73.5273361111111,-65.58956138888888,11.658,0.114,12.42,0.06,12.554,0.1011,12.671,0.086,12.762,0.024,12.798,0.027,12.817,0.032,12.79,0.045,12.827,0.04,12.687,0.076,12.728,0.067,,,OBA
Sk -69 29,73.55941777777777,-69.25369249999999,11.803,0.01,12.814,0.01,12.946,0.0101,12.945,0.095,12.98,0.023,13.004,0.025,13.056,0.026,13.039,0.023,12.975,0.022,12.986,0.044,13.023,0.059,,,OBA
BAT99-5,73.61689999999999,-69.2139,15.957,0.04,16.715,0.033,16.742,0.0451,16.363,0.045,15.871,0.036,15.589,0.055,15.217,0.076,14.54,0.036,14.142,0.032,13.72,0.059,13.408,0.074,,,WR
Sk -67 14,73.63287361111111,-67.25683583333333,10.616,0.047,11.376,0.09,11.541,0.0311,11.599,0.085,11.784,0.023,11.779,0.024,11.799,0.025,11.772,0.032,11.713,0.018,11.661,0.042,11.622,0.03,,,OBA
Sk -66 10,73.7005386111111,-66.37313833333333,13.025,0.134,13.475,0.029,13.502,0.0441,13.526,0.037,13.473,0.025,13.443,0.024,13.463,0.026,13.414,0.028,13.426,0.031,13.376,0.05,,,,,OBA
BI 23,73.73262777777776,-68.36233527777777,13.133,0.038,14.018,0.028,14.087,0.0251,14.261,0.042,14.345,0.024,14.448,0.029,14.499,0.044,14.491,0.04,14.415,0.059,14.341,0.12,,,,,OBA
Sk -67 16,73.79058083333332,-67.52736666666665,12.403,0.01,13.424,0.01,13.556,0.0101,13.614,0.027,13.784,0.024,13.846,0.031,13.897,0.039,13.966,0.032,13.97,0.033,13.992,0.06,13.994,0.087,,,OBA
BAT99-6,73.81216416666666,-67.1899186111111,10.99,0.044,11.7,0.113,11.754,0.1131,12.072,0.095,12.482,0.029,12.553,0.034,12.601,0.039,12.77,0.117,12.689,0.081,12.538,0.055,,,,,OBA
Sk -66 14,73.81587222222221,-66.81008916666666,12.286,0.039,12.98,0.099,13.304,0.0271,13.508,0.029,13.711,0.025,13.799,0.026,13.873,0.03,13.934,0.028,13.924,0.032,13.955,0.057,13.832,0.076,,,OBA
N11-097,73.82358555555554,-66.45993805555554,14.516,0.022,14.994,0.029,14.961,0.0271,14.789,0.037,14.615,0.023,14.543,0.028,14.488,0.05,14.55,0.042,14.526,0.031,14.306,0.127,,,,,OBA
N11-081,73.82445527777777,-66.53047944444444,13.396,0.07,14.692,0.034,14.657,0.0341,14.286,0.035,,,,,,,,,,,,,,,3.309,0.004949,OBAe
N11-008,73.84312444444444,-66.4719161111111,11.888,0.023,12.66,0.055,12.894,0.0821,12.759,0.125,13.02,0.022,13.089,0.024,13.09,0.026,13.132,0.03,13.073,0.026,13.024,0.039,12.772,0.089,,,OBA
N11-004,73.87258138888888,-66.38666527777777,11.605,0.031,12.361,0.088,12.461,0.0961,11.908,0.132,12.765,0.026,12.822,0.033,12.817,0.036,12.77,0.029,12.811,0.032,12.741,0.049,,,,,OBA
BAT99-7,73.88062277777777,-67.50074777777778,12.893,0.01,13.584,0.01,13.846,0.0101,13.512,0.084,13.244,0.026,13.105,0.03,12.825,0.032,12.225,0.039,11.678,0.026,11.553,0.037,11.085,0.034,,,WR
N11-107,73.88708499999998,-66.54203027777777,14.217,0.188,14.83,0.22,14.942,0.1471,15.355,0.035,15.258,0.027,15.285,0.039,15.335,0.078,15.508,0.033,15.448,0.046,,,,,,,OBAe
N11-024,73.88720694444443,-66.42436222222221,12.613,0.079,13.388,0.03,13.446,0.0541,13.501,0.083,13.529,0.022,13.602,0.025,13.633,0.03,13.579,0.043,13.571,0.037,13.353,0.102,,,,,OBA
BI 31,73.94966888888888,-68.64443972222222,12.782,0.052,13.727,0.028,13.773,0.0441,13.985,0.052,14.277,0.025,14.253,0.027,14.313,0.036,14.361,0.035,14.377,0.049,14.601,0.079,,,,,OBA
N11-030,73.95158388888888,-66.49482722222221,12.783,0.048,13.58,0.029,13.72,0.0391,13.957,0.032,13.647,0.022,13.582,0.025,13.379,0.025,13.248,0.042,13.083,0.029,12.782,0.05,12.492,0.053,,,OBAe
N11-109,73.95458222222221,-66.4608611111111,15.071,0.063,15.174,0.034,16.956,0.145,,,14.616,0.023,14.575,0.034,14.525,0.043,14.43,0.043,14.426,0.04,14.188,0.123,,,,,OBA
N11-011,73.98124694444444,-66.47230527777776,11.92,0.02,12.738,0.072,12.938,0.1261,12.945,0.154,13.172,0.023,13.264,0.025,13.263,0.024,13.225,0.031,13.213,0.025,13.268,0.04,13.293,0.064,,,OBA
N11-022,74.00375361111111,-66.43788916666666,12.309,0.02,13.191,0.032,13.327,0.0741,13.454,0.101,13.5,0.022,13.561,0.026,13.576,0.026,13.538,0.029,13.565,0.033,13.548,0.057,13.506,0.105,,,OBA
BAT99-8,74.0120011111111,-69.45597083333332,13.441,0.04,14.188,0.186,14.238,0.0391,14.514,0.038,14.342,0.027,14.249,0.029,13.653,0.026,13.568,0.037,13.137,0.033,12.923,0.061,12.581,0.045,,,WR
N11-078,74.02058416666665,-66.52355972222222,13.903,0.135,14.532,0.029,14.667,0.0301,14.91,0.028,14.89,0.024,14.911,0.035,14.89,0.058,14.457,0.033,14.35,0.039,14.496,0.094,,,,,OBAe
Sk -69 43,74.0435411111111,-69.26063527777777,10.762,0.106,11.866,0.046,11.964,0.0411,12.031,0.151,12.11,0.023,12.126,0.027,12.179,0.03,12.152,0.027,12.058,0.025,12.044,0.036,12.007,0.055,,,OBA
BAT99-9,74.0462111111111,-66.29249583333332,13.704,0.031,14.295,0.03,14.325,0.1401,14.618,0.092,14.4,0.028,14.252,0.03,13.798,0.03,14.048,0.085,13.104,0.027,13.033,0.041,12.645,0.062,,,WR
N11-057,74.06449888888888,-66.461525,14.13,0.024,14.185,0.031,14.163,0.0351,13.887,0.045,13.794,0.023,13.776,0.026,13.722,0.028,13.755,0.069,13.675,0.047,13.798,0.067,,,,,OBA
Sk -70 18,74.06879416666666,-69.99369055555555,,,,,,,,,13.468,0.024,13.505,0.025,13.499,0.027,13.37,0.036,13.336,0.038,13.345,0.046,13.265,0.07,,,OBA
N11-007,74.07204444444443,-66.51766972222221,11.719,0.022,12.591,0.088,12.638,0.1571,12.852,0.208,13.03,0.022,13.071,0.024,13.209,0.026,13.104,0.025,13.094,0.031,13.13,0.037,13.154,0.061,,,OBA
N11-017,74.07321166666665,-66.30514527777777,12.504,0.061,13.144,0.031,13.089,0.0821,13.358,0.342,12.839,0.024,12.805,0.026,12.761,0.032,12.708,0.034,12.661,0.024,12.62,0.052,,,8.777,0.07322,OBA
N11-074,74.08120722222222,-66.46052555555555,13.826,0.074,14.637,0.028,14.648,0.0431,14.276,0.033,14.23,0.022,14.108,0.026,13.863,0.027,13.423,0.065,13.199,0.05,12.851,0.067,12.538,0.091,,,OBAe
N11-016,74.0857925,-66.45388777777777,12.14,0.032,12.904,0.043,12.919,0.0941,12.718,0.122,13.086,0.022,13.124,0.025,13.128,0.026,13.071,0.053,13.073,0.051,12.983,0.061,,,,,OBA
N11-002,74.09796138888888,-66.49768833333333,11.099,0.053,11.832,0.067,11.779,0.093,,,11.679,0.021,11.686,0.024,11.691,0.025,11.633,0.029,11.581,0.022,11.553,0.035,11.521,0.065,,,OBA
N11-021,74.1274186111111,-66.3023911111111,13.565,0.024,13.394,0.03,13.266,0.0951,12.838,0.161,12.572,0.024,12.455,0.027,12.434,0.033,12.306,0.03,12.261,0.029,12.095,0.053,,,,,OBA
N11-076,74.13991555555555,-66.39110583333333,14.25,0.028,14.969,0.029,14.59,0.0211,13.989,0.029,13.485,0.025,13.201,0.023,13.03,0.024,12.902,0.033,12.795,0.031,12.669,0.075,,,,,OBA
BAT99-10,74.14429472222221,-66.47399888888889,,,,,,,,,,,,,,,11.891,0.129,11.973,0.134,11.841,0.08,11.556,0.099,,,WR
N11-103,74.18316638888888,-66.47069555555555,14.039,0.031,14.794,0.029,15.013,0.0351,15.082,0.025,15.253,0.044,15.368,0.069,15.378,0.086,15.565,0.043,15.523,0.05,,,,,,,OBAe
1363,74.18887333333332,-66.49363722222222,11.768,0.022,12.585,0.067,12.766,0.1041,12.031,0.139,12.831,0.025,12.856,0.03,12.822,0.034,12.785,0.033,12.711,0.029,12.697,0.052,12.544,0.104,,,OBA
R66,74.19616694444443,-69.84022527777776,,,,,,,,,10.083,0.021,9.68,0.025,8.855,0.022,7.213,0.039,6.433,0.027,5.762,0.024,4.848,0.025,2.364,0.008377,OBAe
1388,74.19662472222221,-66.48217,11.364,0.04,12.158,0.089,12.45,0.077,,,12.504,0.026,12.535,0.027,12.54,0.033,12.418,0.039,12.411,0.038,12.334,0.048,,,,,OBA
N11-014,74.20008083333332,-66.33605972222222,12.365,0.022,12.972,0.038,13.046,0.0351,12.529,0.15,13.029,0.022,13.011,0.023,13.02,0.025,12.965,0.027,12.938,0.033,12.94,0.044,12.865,0.077,,,OBA
N11-020,74.20966333333332,-66.51766972222221,12.177,0.021,13.019,0.039,13.178,0.0721,13.198,0.136,13.239,0.027,13.201,0.036,13.201,0.035,13.181,0.03,13.094,0.03,13.005,0.041,13.054,0.069,,,OBA
N11-003,74.2107925,-66.4096986111111,11.691,0.024,12.356,0.1,12.438,0.0271,10.895,0.178,12.268,0.023,12.292,0.025,12.189,0.026,12.152,0.062,12.046,0.038,,,,,,,OBA
Sk -69 45,74.21299749999999,-69.31361388888888,,,,,,,,,12.548,0.023,12.625,0.025,12.59,0.023,12.48,0.034,12.422,0.024,12.375,0.047,12.309,0.046,,,OBA
N11-012,74.21312722222221,-66.53009027777777,12.151,0.02,12.885,0.047,12.884,0.1231,12.088,0.149,12.585,0.023,12.547,0.028,12.415,0.029,12.447,0.052,12.3,0.03,12.318,0.071,,,,,OBA
N11-041,74.21800222222221,-66.5479125,12.881,0.116,13.742,0.029,13.896,0.0391,13.953,0.029,14.034,0.024,14.078,0.026,14.086,0.033,14.045,0.036,14.003,0.041,14.026,0.087,,,,,OBA
N11-053,74.2269975,-66.45888527777777,13.154,0.022,13.965,0.028,14.145,0.0301,14.082,0.029,14.061,0.023,13.99,0.026,13.806,0.027,13.508,0.026,13.295,0.037,13.106,0.046,,,,,OBAe
N11-050,74.25366972222221,-66.39919277777777,13.369,0.022,14.167,0.029,14.043,0.0461,13.82,0.048,13.401,0.022,13.257,0.024,13.17,0.025,13.071,0.036,13.013,0.04,12.866,0.093,,,,,OBA
N11-005,74.26708222222221,-66.4861375,11.699,0.022,12.502,0.044,12.779,0.04,,,12.483,0.026,12.479,0.027,12.426,0.028,12.319,0.025,12.223,0.027,12.176,0.04,12.035,0.052,,,OBA
Sk -66 35,74.26850138888888,-66.57738499999999,10.652,0.163,11.494,0.085,11.587,0.085,,,11.722,0.021,11.738,0.025,11.717,0.026,11.62,0.027,11.571,0.024,11.534,0.035,11.467,0.045,,,OBA
Sk -68 11,74.27012638888888,-68.40294638888888,11.254,0.052,12.232,0.083,12.195,0.1261,11.988,0.288,12.396,0.024,12.424,0.025,12.416,0.03,12.255,0.028,12.237,0.03,12.155,0.045,11.975,0.061,,,OBA
N11-001,74.28687277777777,-66.39030472222221,10.475,0.186,11.373,0.114,11.265,0.027,,,11.104,0.023,11.075,0.026,10.973,0.026,10.923,0.042,10.801,0.07,10.683,0.143,,,1.517,0.00631,OBA
N11-055,74.29404444444444,-66.30189499999999,13.504,0.027,14.335,0.03,14.153,0.0261,13.591,0.035,13.357,0.028,13.065,0.029,12.809,0.032,12.411,0.031,12.218,0.029,12.032,0.037,11.875,0.065,,,OBAe
N11-073,74.29691305555555,-66.44828027777777,13.769,0.022,14.56,0.03,14.653,0.0241,14.471,0.024,14.439,0.025,14.35,0.029,14.151,0.033,13.72,0.033,13.434,0.039,13.291,0.033,12.975,0.064,,,OBAe
Sk -69 50,74.31287388888887,-69.33886722222222,12.163,0.01,13.204,0.01,13.366,0.0101,13.434,0.045,13.547,0.024,13.609,0.032,13.625,0.029,13.6,0.037,13.584,0.042,13.49,0.049,13.604,0.083,,,OBA
Sk -68 14,74.3199997222222,-68.41097249999999,10.492,0.074,11.303,0.042,11.286,0.1911,10.699,0.165,10.945,0.026,10.86,0.032,10.785,0.032,10.653,0.024,10.523,0.024,10.479,0.053,,,,,OBA
N11-009,74.32366944444443,-66.44208527777776,12.309,0.022,12.759,0.046,12.875,0.1161,11.895,0.143,12.685,0.025,12.691,0.028,12.64,0.033,12.584,0.025,12.554,0.026,12.578,0.041,12.651,0.099,,,OBA
N11-054,74.32637777777776,-66.43321999999999,13.361,0.022,14.065,0.029,14.107,0.0211,14.098,0.029,14.08,0.023,14.08,0.025,14.11,0.032,14.071,0.03,14.043,0.039,14.114,0.093,,,,,OBA
N11-015,74.34200277777776,-66.4076386111111,12.126,0.021,12.869,0.043,12.963,0.0641,12.898,0.222,13.094,0.023,13.069,0.024,13.106,0.025,13.111,0.044,13.063,0.048,12.953,0.084,,,,,OBA
BAT99-12,74.36433416666665,-67.65081027777777,12.213,0.01,13.314,0.01,13.496,0.0101,13.564,0.031,,,13.76,0.028,13.744,0.029,13.6,0.031,13.446,0.036,13.543,0.052,13.275,0.061,,,OBA
N11-035,74.36958305555555,-66.51733388888888,13.025,0.023,13.732,0.029,13.755,0.0351,13.516,0.08,13.371,0.023,13.319,0.026,13.351,0.026,13.16,0.039,13.166,0.035,13.048,0.088,,,,,OBA
N11-082,74.3853761111111,-66.49697111111111,13.88,0.022,14.603,0.029,14.812,0.0361,14.87,0.027,14.932,0.027,15.015,0.038,15.013,0.057,15.003,0.044,14.939,0.073,14.49,0.093,,,,,OBAe
N11-090,74.38546,-66.43244166666666,14.325,0.027,15.047,0.037,15.129,0.0211,14.976,0.025,14.836,0.024,14.766,0.03,14.571,0.042,14.004,0.033,13.783,0.037,13.604,0.071,,,,,OBAe
S12,74.40325166666666,-67.79372416666666,11.833,,12.594,,12.526,1.0E-4,11.866,0.301,11.787,0.023,11.153,0.027,10.229,0.022,8.922,0.034,8.358,0.033,7.966,0.019,7.544,0.018,6.564,0.01689,OBAe
N11-036,74.42082972222221,-66.49899277777777,12.877,0.021,13.577,0.04,13.803,0.0421,13.845,0.041,13.937,0.029,13.956,0.037,14.007,0.032,14.082,0.031,14.091,0.039,14.022,0.114,,,,,OBA
BAT99-13,74.42099749999998,-66.5451661111111,12.191,0.046,12.852,0.037,12.851,0.0821,11.781,0.228,12.107,0.021,11.832,0.027,11.55,0.025,10.998,0.022,10.615,0.022,10.431,0.024,10.074,0.029,,,WR
HDE268743,74.43421166666666,-66.46118916666666,10.035,0.093,10.923,0.053,10.924,0.076,,,11.904,0.029,11.954,0.037,11.933,0.034,11.984,0.046,11.947,0.068,12.008,0.043,,,,,OBA
Sk -69 52,74.45370472222221,-69.87291722222221,10.469,0.212,11.392,0.092,11.399,0.0521,11.468,0.077,11.569,0.021,11.566,0.026,11.6,0.025,11.477,0.025,11.409,0.027,11.403,0.036,11.326,0.034,,,OBA
N11-056,74.4543761111111,-66.4048386111111,13.263,0.024,14.075,0.028,14.111,0.0211,14.117,0.024,14.166,0.027,14.107,0.034,14.082,0.038,14.118,0.034,14.045,0.049,13.934,0.101,,,6.462,0.01282,OBAe
Sk -69 51,74.46074666666665,-69.68589027777777,11.493,,12.494,,12.596,1.0E-4,12.371,0.157,12.729,0.023,12.794,0.027,12.817,0.033,12.751,0.03,12.725,0.027,12.759,0.048,12.721,0.048,,,OBA
Sk -70 22,74.51412194444444,-70.60863499999999,12.795,0.043,13.781,0.106,13.819,0.1471,14.121,0.072,14.302,0.024,14.316,0.028,14.351,0.037,14.342,0.03,14.321,0.052,14.252,0.068,14.233,0.088,,,OBA
Sk -70 25,74.58245861111111,-70.21794138888887,,,,,,,,,13.328,0.023,13.365,0.025,13.441,0.028,13.433,0.03,13.43,0.03,13.394,0.041,13.332,0.055,,,OBA
Sk -67 28,74.66349777777776,-67.18852999999999,11.34,0.039,12.082,0.065,12.269,0.0411,12.228,0.143,12.561,0.024,12.6,0.03,12.632,0.033,12.531,0.031,12.529,0.029,12.509,0.046,12.523,0.058,,,OBA
Sk -65 5,74.69875333333333,-65.6399461111111,11.968,0.022,12.65,0.041,12.866,0.1191,12.954,0.039,13.078,0.023,13.126,0.024,13.161,0.026,13.078,0.025,13.126,0.03,13.098,0.049,13.142,0.061,,,OBA
BAT99-14,74.73633583333333,-68.80305472222221,,,,,,,,,,,,,,,,,12.748,0.096,12.529,0.074,12.359,0.107,,,WR
Sk -65 9,74.80095666666665,-65.8091125,11.636,0.042,12.548,0.04,12.599,0.1161,12.994,0.047,13.133,0.022,13.214,0.024,13.282,0.028,13.248,0.025,13.18,0.029,13.173,0.032,13.208,0.063,,,OBA
BI 50,74.81333166666666,-65.8897475,12.749,0.022,13.582,0.028,13.699,0.0231,13.964,0.038,14.082,0.023,14.214,0.029,14.205,0.037,14.327,0.036,14.164,0.046,14.336,0.065,,,,,OBA
Sk -65 11,74.84762583333332,-65.69775388888888,11.022,0.064,11.604,0.093,11.743,0.2711,11.654,0.067,11.707,0.021,11.742,0.027,11.735,0.021,11.649,0.027,11.626,0.026,11.598,0.033,11.629,0.044,,,OBA
Sk -65 12,74.86683638888888,-65.60497277777777,12.727,0.157,13.555,0.029,13.671,0.0311,13.974,0.038,14.068,0.023,14.106,0.027,14.157,0.039,14.222,0.055,14.231,0.051,14.296,0.086,,,,,OBA
Sk -65 14,74.9038772222222,-65.56494888888888,11.584,0.025,12.503,0.049,12.599,0.0291,12.84,0.04,12.987,0.022,13.0,0.024,13.1,0.026,13.104,0.038,13.073,0.032,13.005,0.039,13.057,0.053,,,OBA
Sk -65 15,74.9223786111111,-65.8305511111111,11.288,0.04,12.008,0.056,12.203,0.3291,12.312,0.06,12.42,0.026,12.415,0.024,12.42,0.025,12.4,0.03,12.362,0.023,12.318,0.034,12.334,0.039,,,OBA
Sk -65 16,74.93445583333332,-65.74877166666666,11.334,0.035,12.03,0.056,12.241,0.0711,12.338,0.064,12.357,0.046,12.421,0.048,12.367,0.05,12.147,0.037,12.042,0.041,11.905,0.036,11.708,0.042,,,OBA
BAT99-15,74.96479027777777,-67.94872277777777,13.658,0.043,14.25,0.028,14.542,0.0261,14.426,0.039,14.118,0.025,14.029,0.025,13.662,0.027,13.218,0.044,12.733,0.028,12.63,0.047,12.199,0.04,,,WR
Sk -65 18,75.02700027777777,-65.7608336111111,,,,,,,,,10.869,0.023,10.877,0.025,10.833,0.023,10.78,0.026,10.713,0.028,10.696,0.029,10.676,0.029,,,OBA
Sk -68 23,75.20612333333332,-68.11936194444444,,,,,,,,,12.188,0.021,12.082,0.026,11.974,0.025,11.84,0.022,11.798,0.028,11.757,0.026,11.7,0.066,,,OBA
Sk -70 36,75.28733055555554,-70.5653611111111,,,,,,,,,13.254,0.027,13.189,0.032,12.994,0.035,12.736,0.031,12.567,0.034,12.392,0.045,12.221,0.048,,,OBA
Sk -65 20,75.30620583333332,-65.81095111111111,,,,,,,,,11.23,0.024,11.242,0.025,11.242,0.025,11.176,0.027,11.118,0.024,11.125,0.032,11.081,0.039,,,OBA
Sk -65 21,75.34283444444443,-65.69663999999999,11.119,0.044,12.013,0.077,12.172,0.1701,12.373,0.052,12.59,0.027,12.655,0.03,12.701,0.032,12.635,0.024,12.606,0.03,12.62,0.04,12.602,0.035,,,OBA
Sk -67 36,75.34412388888887,-67.33611305555554,11.042,0.05,11.91,0.083,11.962,0.1121,12.024,0.122,12.134,0.024,12.146,0.03,12.193,0.028,12.181,0.031,12.124,0.026,12.082,0.044,12.107,0.042,,,OBA
Sk -65 22,75.3461686111111,-65.87589249999999,10.944,0.076,11.871,0.052,12.003,0.1331,12.187,0.055,12.338,0.024,12.358,0.025,12.274,0.025,12.216,0.028,12.066,0.023,12.002,0.037,11.811,0.036,,,OBA
Sk -67 37,75.50512694444444,-67.53430166666666,12.333,0.01,13.444,0.01,13.666,0.0101,13.809,0.04,14.03,0.026,14.137,0.027,14.219,0.035,14.198,0.039,14.178,0.043,14.247,0.061,,,,,OBA
Sk -70 43a,75.51924888888888,-70.7322236111111,12.779,0.029,13.701,0.029,13.928,0.0201,14.131,0.032,14.411,0.023,14.511,0.029,14.584,0.048,14.644,0.045,14.612,0.05,,,,,,,OBA
Sk -70 44,75.5352936111111,-70.66550444444444,11.396,0.041,11.934,0.103,12.084,0.0551,12.046,0.158,12.202,0.024,12.184,0.025,12.154,0.026,12.058,0.043,12.058,0.028,12.069,0.042,12.054,0.044,,,OBA
Sk -67 37a,75.5588761111111,-67.77161416666665,12.657,0.046,14.235,0.015,13.547,0.0751,13.724,0.048,13.651,0.024,13.567,0.025,13.416,0.027,12.907,0.037,12.696,0.032,12.509,0.046,12.29,0.039,,,OBAe
Sk -66 50,75.78675083333333,-66.95969388888888,10.023,0.04,10.511,0.078,10.658,0.22,,,10.48,0.023,10.445,0.027,10.403,0.025,10.255,0.023,10.24,0.023,10.221,0.023,10.173,0.027,,,OBA
Sk -69 59,75.80291749999999,-69.02694694444443,11.218,0.053,11.812,0.141,12.166,0.0451,12.443,0.174,12.332,0.023,12.344,0.03,12.388,0.035,12.396,0.052,12.373,0.047,12.31,0.046,12.213,0.046,,,OBA
Sk -70 47,75.84703833333333,-70.34752666666665,,,,,,,,,13.34,0.023,13.409,0.026,13.423,0.026,13.397,0.053,13.36,0.042,13.396,0.049,13.35,0.064,,,OBA
Sk -70 48,75.87325277777776,-70.69983666666666,10.979,0.21,11.509,0.216,11.704,0.0591,11.501,0.237,11.699,0.021,11.699,0.025,11.644,0.023,11.566,0.034,11.56,0.026,11.518,0.029,11.481,0.037,8.283,0.04505,OBA
Sk -67 38,75.87383277777776,-67.8736725,12.383,0.01,13.494,0.01,13.716,0.0101,13.883,0.039,14.077,0.023,14.15,0.027,14.285,0.042,14.241,0.043,14.237,0.034,14.247,0.079,,,,,OBA
Sk -70 50,75.94120777777776,-70.19931027777777,,,,,,,,,11.222,0.023,11.267,0.027,11.217,0.025,11.212,0.034,11.166,0.025,11.158,0.036,11.118,0.035,,,OBA
Sk -70 51,75.97291555555555,-70.23258222222222,,,,,,,,,11.853,0.025,11.879,0.026,11.848,0.026,11.736,0.035,11.664,0.027,11.631,0.033,11.585,0.038,,,OBA
Sk -66 54,76.01654055555555,-66.06922138888888,,,13.919,0.029,14.149,0.0331,14.197,0.039,14.335,0.024,14.262,0.028,14.166,0.032,13.685,0.031,13.519,0.028,13.372,0.044,13.189,0.059,,,OBA
BAT99-17,76.05137638888888,-70.06539138888888,13.183,0.037,14.085,0.031,14.17,0.0291,14.108,0.044,13.949,0.022,13.844,0.025,13.571,0.025,12.919,0.031,12.58,0.031,12.35,0.04,12.144,0.057,,,WR
Sk -70 60,76.16987611111111,-70.2595825,12.609,0.038,13.646,0.029,13.914,0.0451,13.967,0.046,14.328,0.023,14.35,0.029,14.534,0.044,13.931,0.034,13.851,0.028,13.767,0.04,13.497,0.053,,,OBAe
