D4000_N,log_sqrd_OIII,Target_class
1.8736379,-1.7846035829265678,2
1.7473537,1.033340140456942,1
1.8128974,0.1260294939526726,2
1.9133227,-2.011270568697684,2
1.0941488,3.7998657805939295,0
1.2103379,1.1126814340004103,0
1.2744241,1.1584122767438783,0
1.3564824,0.4623767607702639,0
1.8781981,-0.7189959435953506,2
1.1286016,2.1966481287171575,0
1.1675698,1.4879062603430997,0
1.3850354,1.7016882068510857,0
1.1622137,1.5596583609069805,0
1.890659,-0.5660709491126323,2
1.941434,-1.763931491943833,2
2.001918,-0.5359471507650918,2
1.8866386,-1.5236306927989252,2
1.1906835,1.848680062678339,0
1.9762796,-1.3623665918678745,2
1.1868485,1.0470672207226832,0
1.9774911,-0.9410682977999743,2
1.2126896,0.8131471204344015,0
1.0888636,1.887807078871097,0
1.1195241,0.9485488471607371,0
1.1293635,2.150847179279689,0
1.9629422,-0.5889095461970713,2
1.2261878,0.6437252678266714,0
1.244917,1.2425158138414567,0
1.1695204,3.197310155324151,0
1.2594272,0.34578222042820617,0
1.5029362,0.519318609585693,2
1.2587204,2.4100133866397937,0
2.051704,0.0008256355770589665,2
1.0765303,2.4070250458128863,0
1.2658345,1.2173745618546703,0
1.8610855,-1.0735048801448983,2
1.1744874,2.2739024417529157,0
1.2033081,1.2886274778838334,0
1.2260574,0.7388829668897245,0
1.3258227,0.5577765598604747,0
1.1100489,1.0648451165183377,0
1.9115226,-1.5986053612516333,2
1.2216123,1.4398588775239585,0
1.7047367,-0.5587838188455477,2
1.1612512,1.3925212123789663,0
1.1742184,1.5406833470545318,0
1.2996473,1.044986536386122,0
1.9094038,-0.579164914913224,2
1.191931,1.569160473922566,0
1.1862837,1.6860514383938805,0
1.189681,1.6555658965494167,0
1.129554,2.2957550735889285,0
1.1660333,1.4884224683301754,0
1.9516824,-0.34641832621984686,2
1.2424388,1.7175852326515972,0
1.1965209,0.6553347361474546,0
1.2244185,1.9160507749193942,0
1.5396065,-1.2649381833835884,2
1.2864383,0.3143126904660926,0
1.0447105,2.0835376373167342,0
1.9206085,-1.082022584324167,2
1.2749337,1.0274889903378823,0
1.9318025,-1.758812657169039,2
1.1791987,1.1255292415981066,0
1.6301866,-0.6873004586545725,2
1.3087189,0.8132731321625205,0
1.1164066,2.938439715902039,0
1.3787464,0.6071402483209404,0
1.3102745,2.190640877395167,1
1.3563324,1.3239608200672104,0
1.1600727,0.7977127854615487,0
1.1667117,1.6408114407749026,0
1.2131735,1.9736828793044756,0
1.3442284,0.4871436070014835,0
1.2317829,1.2971190908190147,0
1.2463279,1.4959135158299843,0
1.9177318,-0.4514610863113243,2
1.0939378,3.044312947054758,0
1.2061671,1.444626135389427,0
1.3055372,0.4781555893980819,0
1.261943,0.6988730518448967,0
1.2148376,2.4445994773068356,0
1.25733,2.939014886859794,1
1.6050564,-2.3986496828085437,2
1.187897,0.07928819106870558,0
1.3061316,0.2656204948895711,0
1.6045419,2.0618584472309824,1
1.922699,-0.1231570751209839,2
1.1428045,2.09274751124026,0
1.2294761,0.9976881269891142,0
1.9385799,-2.369991372605672,2
1.8715932,-2.493336123896861,2
1.321124,0.8270402839028794,0
1.2609744,0.7095210880855377,0
1.2565234,0.7812360187178155,0
1.340638,0.713769820170606,0
1.7800322,-1.5213246993854306,2
1.3078676,0.5870826381054807,0
1.1661451,1.627926825803934,0
1.8577828,-1.0713874650117883,2
1.1178534,2.3985187528240943,0
1.2300975,1.59029540184848,0
1.1967963,1.8443456418590183,0
1.3447709,0.41040136327036214,0
1.1255885,1.7166036415515216,0
1.1231071,1.8327546960817465,0
1.1470848,2.66965485081459,0
